Arise	;	Е	-	Arisen	;	ѕодниматьс€;	Arosen	;	Arose	;	Arise	;	1	;
Е	;	Arose	-	Arisen	;	ѕодниматьс€	;	Arais	;	Arosen	;	Arise	;	2	;
Arise	;	Arose	-	Е	;	ѕодниматьс€	;	Arose	;	Arisen	;	Aris	;	1	;
Arise	;	Arose	-	Arisen	;	ѕодниматьс€	;	ѕодниматьс€	;	ѕросыпатьс€	;	ѕропиватьс€	;	0	;
Е	;	Awoke	-	Awoken	;	Ѕудить	;	Awake	;	Awoke	;	Awaik	;	0	;
Awake	;	Е	-	Awoken	;	Ѕудить	;	Awoke	;	Awoken	;	Awaiken	;	0	;
Awake	;	Awoke	-	Е	;	Ѕудить	;	Awoke	;	Awoked	;	Awoken	;	2	;
Awake	;	Awoke	-	Awoken	;	Е	;	Ѕурить	;	Ѕудить	;	Ѕобмить	;	1	;
Е	;	Was (were)	-	Been	;	Ѕыть	;	Be	;	Bee	;	Bi	;	0	;
Be	;	Е	-	Been	;	Ѕыть	;	Wass (were)	;	Was (were)	;	Was (been)	;	1	;
Be	;	Was (were)	-	Е	;	Ѕыть	;	Was	;	Been	;	Bean	;	1	;
Be	;	Was (were)	-	Been	;	Е	;	Ѕыть	;	ћыть	;	∆ить	;	0	;
Е	;	Bore	-	Born	;	Ќести, рожать	;	Beare	;	Bore	;	Bear	;	2	;
Bear	;	Е	-	Born	;	Ќести, рожать	;	Beare	;	Bore	;	Bear	;	1	;
Bear	;	Bore	-	Е	;	Ќести, рожать	;	Born	;	Bore	;	Bear	;	0	;
Bear	;	Bore	-	Born	;	Е	;	Ќести, рожать	;	÷вести	;	 опать	;	0	;
Е	;	Beat	-	Beaten	;	Ѕить	;	Beat	;	Beet	;	Beate	;	0	;
Beat	;	Е	-	Beaten	;	Ѕить	;	Beet	;	Beat	;	Beate	;	1	;
Beat	;	Beat	-	Е	;	Ѕить	;	Beat	;	Beaten	;	Beate	;	1	;
Beat	;	Beat	-	Beaten	;	Е	;	Ѕить	;	ѕить	;	 урить	;	0	;
Е	;	Became	-	Become	;	—тановитьс€	;	Becamen	;	Became	;	Become	;	2	;
Become	;	Е	-	Become	;	—тановитьс€	;	Become	;	Became	;	Bicame	;	1	;
Become	;	Became	-	Е	;	—тановитьс€	;	Become	;	Became	;	Becamen	;	0	;
Become	;	Became	-	Become	;	Е	;	ќстановитьс€	;	—тановитьс€	;	ѕолечитс€	;	1	;
Е	;	Began	-	Begun	;	Ќачинать	;	Begin	;	Began	;	Begine	;	0	;
Begin	;	Е	-	Begun	;	Ќачинать	;	Began	;	Begin	;	Begane	;	0	;
Begin	;	Began	-	Е	;	Ќачинать	;	Began	;	Begane	;	Begun	;	2	;
Begin	;	Began	-	Begun	;	Е	;	Ќатирать	;	Ќазначать	;	Ќачинать	;	2	;
Е	;	Bent	-	Bent	;	√нуть	;	Beand	;	Bent	;	Bend	;	2	;
Bend	;	Е	-	Bent	;	√нуть	;	Beand	;	Bent	;	Bend	;	1	;
Bend	;	Bent	-	Е	;	√нуть	;	Beand	;	Bent	;	Bend	;	1	;
Bend	;	Bent	-	Bent	;	√нуть	;	ѕинать	;	√он€ть	;	√нуть	;	2	;
Е	;	Bet	-	Bet	;	ƒержать пари	;	Bet	;	Beat	;	Beaten	;	0	;
Bet	;	Е	-	Bet	;	ƒержать пари	;	Beaten	;	Bet	;	Beten	;	1	;
Bet	;	Bet	-	Е	;	ƒержать пари	;	Beaten	;	Bet	;	Beten	;	1	;
Bet	;	Bet	-	Bet	;	Е	;	ƒержать пари	;	ƒержать стойку	;	ƒержать мысль	;	0	;
Е	;	Bound	-	Bound	;	—в€зывать	;	Bond	;	Bound	;	Bind	;	2	;
Bind	;	Е	-	Bound	;	—в€зывать	;	Bound	;	Bond	;	Bint	;	0	;
Bind	;	Bound	-	Е	;	—в€зывать	;	Binden	;	Bond	;	Bound	;	2	;
Bind	;	Bound	-	Bound	;	Е	;	ќтв€зывать	;	Ќав€зывать	;	—в€зывать	;	2	;
Bite	;	Bit	-	Bitten	;	 усатьс€	;	Bite	;	Bait	;	Bit	;	0	;
Bite	;	Bit	-	Bitten	;	 усатьс€	;	Bitten	;	Bait	;	Bit	;	2	;
Bite	;	Bit	-	Bitten	;	 усатьс€	;	Bitten	;	Bait	;	Bite	;	0	;
Bite	;	Bit	-	Bitten	;	 усатьс€	;	–ычать	;	 усатьс€	;	 ричать	;	1	;
Е	;	Bled	-	Bled	;	 ровоточить	;	Bleed	;	Bled	;	Blead	;	0	;
Bleed	;	Е	-	Bled	;	 ровоточить	;	Bleed	;	Bled	;	Blead	;	1	;
Bleed	;	Bled	-	Е	;	 ровоточить	;	Bleden	;	Bled	;	Blead	;	1	;
Bleed	;	Bled	-	Bled	;	Е	;	ћыть	;	 ровоточить	;	ѕлыть	;	1	;
Blow	;	Blew	-	Blown	;	ƒуть	;	Bloow	;	Blew	;	Blow	;	2	;
Blow	;	Blew	-	Blown	;	ƒуть	;	Bloow	;	Blown	;	Blew	;	2	;
Blow	;	Blew	-	Blown	;	ƒуть	;	Blown	;	Blow	;	Blew	;	0	;
Blow	;	Blew	-	Blown	;	ƒуть	;	ƒуть	;	ћыть	;	ѕлыть	;	0	;
Е	;	Bred	-	Bred	;	–азмножатьс€	;	Breed	;	Bred	;	Bread	;	0	;
Breed	;	Е	-	Bred	;	–азмножатьс€	;	Bred	;	Breed	;	Bread	;	1	;
Breed	;	Bred	-	Е	;	–азмножатьс€	;	Bred	;	Breeden	;	Bread	;	1	;
Breed	;	Bred	-	Bred	;	Е	;	–азмножатьс€	;	ѕитатьс€	;	¬еселитьс€	;	0	;
Е	;	Brought	-	Brought	;	ѕриносить	;	Bring	;	Breeng	;	Broung	;	0	;
Bring	;	Е	-	Brought	;	ѕриносить	;	Bring	;	Brought	;	Broung	;	1	;
Bring	;	Brought	-	Е	;	ѕриносить	;	Bring	;	Brought	;	Brang	;	1	;
Bring	;	Brought	-	Brought	;	Е	;	ѕрижимать	;	¬ыносить	;	ѕриносить	;	2	;
Е	;	Built	-	Built	;	—троить	;	Builden	;	Build	;	Built	;	1	;
Build	;	Е	-	Built	;	—троить	;	Builden	;	Build	;	Built	;	2	;
Build	;	Built	-	Е	;	—троить	;	Builden	;	Build	;	Built	;	2	;
Build	;	Built	-	Built	;	Е	;	 леить	;	—троить	;	–убить	;	1	;
Е	;	Bought	-	Bought	;	ѕокупать	;	Buy	;	Bouy	;	Boud	;	0	;
Buy	;	Е	-	Bought	;	ѕокупать	;	Buy	;	Bought	;	Boud	;	1	;
Buy	;	Bought	-	Е	;	ѕокупать	;	Bought	;	Buy	;	Boud	;	0	;
Buy	;	Bought	-	Bought	;	Е	;	 упатьс€	;	ѕокупать	;	ѕолучать	;	1	;
Е	;	Caught	-	Caught	;	Ћовить	;	Catch	;	Cauch	;	Catsh	;	0	;
Catch	;	Е	-	Caught	;	Ћовить	;	Caught	;	Cauch	;	Catch	;	0	;
Catch	;	Caught	-	Е	;	Ћовить	;	Caught	;	Catchen	;	Catch	;	0	;
Catch	;	Caught	-	Caught	;	Е	;	 опать	;	ѕокупать	;	Ћовить	;	2	;
Е	;	Chose	-	Chosen	;	¬ыбирать	;	Choose	;	Chose	;	Chouse	;	0	;
Choose	;	Е	-	Chosen	;	¬ыбирать	;	Chose	;	Chosen	;	Chouse	;	0	;
Choose	;	Chose	-	Е	;	¬ыбирать	;	Choose	;	Chosen	;	Chouse	;	1	;
Choose	;	Chose	-	Chosen	;	Е	;	ѕоливать	;	ѕокупать	;	¬ыбирать	;	2	;
Е	;	Clung	-	Clung	;	÷епл€тьс€	;	Cling	;	Clingen	;	Clung	;	0	;
Cling	;	Е	-	Clung	;	÷епл€тьс€	;	Cling	;	Clang	;	Clungen	;	1	;
Cling	;	Clung	-	Е	;	÷епл€тьс€	;	Cling	;	Clang	;	Clung	;	1	;
Cling	;	Clung	-	Clung	;	Е	;	«абывать	;	÷епл€тьс€	;	ѕриносить	;	1	;
Е	;	Came	-	Come	;	ѕриходить	;	Came	;	Come	;	Com	;	1	;
Come	;	Е	-	Come	;	ѕриходить	;	Came	;	Come	;	Camm	;	0	;
Come	;	Came	-	Е	;	ѕриходить	;	Came	;	Comen	;	Com	;	0	;
Come	;	Came	-	Come	;	Е	;	ƒышать	;	ѕриходить	;	«апирать	;	1	;
Е	;	Cost	-	Cost	;	—тоить	;	Cost	;	Cast	;	Cust	;	0	;
Cost	;	Е	-	Cost	;	—тоить	;	Cast	;	Cost	;	Costen	;	1	;
Cost	;	Cost	-	Е	;	—тоить	;	Casten	;	Cast	;	Cost	;	2	;
Cost	;	Cost	-	Cost	;	Е	;	—тоить	;	—троить	;	—идеть	;	0	;
Е	;	Cut	-	Cut	;	–езать	;	Cut	;	Cutt	;	Cat	;	0	;
Cut	;	Е	-	Cut	;	–езать	;	Catt	;	Cut	;	Cutten	;	1	;
Cut	;	Cut	-	Е	;	–езать	;	Cot	;	Cutten	;	Cut	;	2	;
Cut	;	Cut	-	Cut	;	Е	;	–езать	;	„есать	;	 опать	;	0	;
Е	;	Dealt	-	Dealt	;	¬ести дела	;	Deal	;	Dealt	;	Dealed	;	0	;
Deal	;	Е	-	Dealt	;	¬ести дела	;	Deal	;	Deelen	;	Dealt	;	2	;
Deal	;	Dealt	-	Е	;	¬ести дела	;	Dealt	;	Deal	;	Deel	;	0	;
Deal	;	Dealt	-	Dealt	;	Е	;	¬ести дела	;	¬ести машину	;	Ќести ношу	;	0	;
Е	;	Dug	-	Dug	;	 опать	;	Dig	;	Dug	;	Dag	;	0	;
Dig	;	Е	-	Dug	;	 опать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	-	Е	;	 опать	;	Dig	;	Dug	;	Dag	;	1	;
Dig	;	Dug	-	Dug	;	Е	;	—тоить	;	–исовать	;	 опать	;	2	;
Е	;	Did	-	Done	;	ƒелать	;	Do	;	Done	;	Doo	;	0	;
Do	;	Е	-	Done	;	ƒелать	;	Do	;	Doo	;	Did	;	2	;
Do	;	Did	-	Е	;	ƒелать	;	Done	;	Dan	;	Deed	;	0	;
Do	;	Did	-	Done	;	Е	;	ƒелать	;	ѕилить	;	ƒумать	;	0	;
Е	;	Drew	-	Drawn	;	–исовать, т€нуть	;	Draw	;	Drow	;	Drew	;	0	;
Draw	;	Е	-	Drawn	;	–исовать, т€нуть	;	Drow	;	Drowen	;	Drew	;	2	;
Draw	;	Drew	-	Е	;	–исовать, т€нуть	;	Drowen	;	Drawn	;	Drew	;	1	;
Draw	;	Drew	-	Drawn	;	Е	;	–исовать, т€нуть	;	–ычать, забирать	;	–угать, скалитьс€	;	0	;
Е	;	Drank	-	Drunk	;	ѕить	;	Drink	;	Drank	;	Dreenk	;	0	;
Drink	;	Е	-	Drunk	;	ѕить	;	Drank	;	Drink	;	Droonk	;	0	;
Drink	;	Drank	-	Е	;	ѕить	;	Drank	;	Drunk	;	Dranken	;	1	;
Drink	;	Drank	-	Drunk	;	Е	;	ѕить	;	ѕоить	;	Ќаходить	;	0	;
Е	;	Drove	-	Driven	;	¬одить автомобиль	;	Drive	;	Drove	;	Draive	;	0	;
Drive	;	Е	-	Driven	;	¬одить автомобиль	;	Druv	;	Drove	;	Driven	;	1	;
Drive	;	Drove	-	Е	;	¬одить автомобиль	;	Druven	;	Droven	;	Driven	;	2	;
Drive	;	Drove	-	Driven	;	Е	;	¬одить автомобиль	;	 упить автомобиль	;	 рутить колесо	;	0	;
